symbol,date,actual_change_pct,predicted_change_pct,correct_direction
TCS,2025-06-23 00:00:00+05:30,-0.09,0.94,0
TCS,2025-06-30 00:00:00+05:30,-0.93,0.11,0
TCS,2025-07-07 00:00:00+05:30,-0.16,0.61,0
TCS,2025-07-14 00:00:00+05:30,0.92,-0.08,0
TCS,2025-07-21 00:00:00+05:30,0.04,0.69,1
TCS,2025-07-28 00:00:00+05:30,-0.76,-0.54,1
TCS,2025-08-04 00:00:00+05:30,-0.34,0.18,0
TCS,2025-08-11 00:00:00+05:30,-0.18,0.16,0
TCS,2025-08-19 00:00:00+05:30,2.73,-0.25,0
TCS,2025-08-26 00:00:00+05:30,-2.01,-0.24,1
TCS,2025-09-03 00:00:00+05:30,-0.06,-0.04,1
TCS,2025-09-10 00:00:00+05:30,0.46,-0.01,0
TCS,2025-09-17 00:00:00+05:30,0.12,-0.1,0
TCS,2025-09-24 00:00:00+05:30,-2.57,-0.06,1
TCS,2025-10-01 00:00:00+05:30,-0.42,0.54,0
TCS,2025-10-09 00:00:00+05:30,-1.09,0.55,0
TCS,2025-10-16 00:00:00+05:30,-0.29,0.37,0
TCS,2025-10-24 00:00:00+05:30,0.71,0.09,1
TCS,2025-10-31 00:00:00+05:30,-1.35,-0.24,1
TCS,2025-11-10 00:00:00+05:30,0.72,0.04,1
TCS,2025-11-17 00:00:00+05:30,-0.49,-0.28,1
TCS,2025-11-24 00:00:00+05:30,-0.7,-0.53,1
TCS,2025-12-01 00:00:00+05:30,0.07,-0.28,0
TCS,2025-12-08 00:00:00+05:30,-0.87,-0.06,1
TCS,2025-12-15 00:00:00+05:30,-0.78,-0.05,1
TCS,2025-12-22 00:00:00+05:30,-0.45,0.05,0
TCS,2025-12-30 00:00:00+05:30,-1.25,0.05,0
TCS,2026-01-06 00:00:00+05:30,1.22,0.07,1
TCS,2026-01-13 00:00:00+05:30,-2.31,-0.14,1
TCS,2026-01-21 00:00:00+05:30,0.89,0.37,1
TCS,2026-01-29 00:00:00+05:30,-0.65,-0.02,1
TCS,2026-02-05 00:00:00+05:30,-1.67,0.22,0
